Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
chng_reads/SRR1950746_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.21	0.440	99.11-99.34	0.440	0.42-0.46	1	1.296	8969/31580	96.02	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950746_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.96	0.135	97.53-98.34	0.135	0.12-0.15	1	1.083	2646/38437	91.73	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950747_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.45	0.483	99.34-99.56	0.483	0.46-0.50	1	1.307	10402/31580	96.48	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950747_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.07	0.271	97.86-98.27	0.271	0.25-0.29	1	1.152	5109/38437	93.70	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950748_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.19	0.690	99.11-99.28	0.690	0.66-0.71	1	1.468	12473/31580	97.05	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950748_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.01	0.366	96.83-97.19	0.366	0.34-0.39	1	1.215	4726/38437	93.46	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950749_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.42	0.329	99.25-99.56	0.329	0.31-0.35	1	1.211	7548/31580	95.49	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950749_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.19	0.356	98.03-98.35	0.356	0.33-0.37	1	1.200	6687/38437	94.51	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950750_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.57	0.784	99.50-99.65	0.784	0.76-0.81	1	1.528	15253/31580	97.68	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950750_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.42	1.063	98.36-98.48	1.063	1.03-1.09	1	1.700	15568/38437	97.13	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950751_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.74	0.312	98.54-98.95	0.312	0.29-0.33	1	1.197	5829/31580	94.70	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950751_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.43	0.127	95.97-97.08	0.127	0.10-0.15	1	1.073	1539/38437	90.14	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950752_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.25	0.222	97.94-98.53	0.222	0.20-0.24	1	1.141	3717/31580	93.33	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950752_1.fastq.gz	../sylph-test/refs/m.globosa.fa	95.39	0.137	94.73-96.05	0.137	0.11-0.16	1	1.073	1185/38437	89.38	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950753_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.20	0.330	99.06-99.37	0.330	0.31-0.35	1	1.200	7057/31580	95.28	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950753_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.50	0.072	95.66-97.44	0.072	0.05-0.09	1	1.135	921/38437	88.66	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950754_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.34	0.461	99.22-99.45	0.461	0.44-0.48	1	1.304	9676/31580	96.26	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950754_1.fastq.gz	../sylph-test/refs/m.globosa.fa	95.95	0.150	95.47-96.47	0.150	0.13-0.18	1	1.086	1544/38437	90.15	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950755_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.56	3.616	NA-NA	HIGH	NA-NA	3	3.616	27510/31580	99.56	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950755_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.10	0.203	97.82-98.40	0.203	0.18-0.22	1	1.127	3994/38437	92.96	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950756_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.61	3.401	NA-NA	HIGH	NA-NA	3	3.401	27991/31580	99.61	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950756_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.26	0.306	98.09-98.42	0.306	0.29-0.32	1	1.179	6021/38437	94.20	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950757_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.62	0.961	99.57-99.69	0.961	0.93-0.98	1	1.634	17584/31580	98.13	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950757_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.77	0.188	96.39-97.05	0.188	0.17-0.21	1	1.099	2455/38437	91.51	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950758_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.58	0.452	99.47-99.69	0.452	0.43-0.47	1	1.273	10276/31580	96.44	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950758_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.61	0.066	95.81-97.80	0.066	0.04-0.09	1	1.118	876/38437	88.52	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950759_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.75	1.174	99.71-99.79	1.174	1.15-1.20	1	1.808	20443/31580	98.61	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950759_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.23	0.214	97.96-98.48	0.214	0.20-0.23	1	1.120	4368/38437	93.23	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950760_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.64	0.324	99.49-99.78	0.324	0.31-0.34	1	1.202	7962/31580	95.65	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950760_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.61	0.062	96.73-98.37	0.062	0.05-0.08	1	1.149	1123/38437	89.23	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950761_1.fastq.gz	../sylph-test/refs/m.restrica.fa	97.01	0.041	95.50-99.12	0.041	0.02-0.07	1	1.020	502/31580	87.49	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950761_1.fastq.gz	../sylph-test/refs/m.globosa.fa	93.42	0.106	92.59-94.65	0.106	0.07-0.14	1	1.055	487/38437	86.86	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950762_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.17	0.071	95.28-97.24	0.071	0.05-0.09	1	1.110	808/38437	88.29	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950762_1.fastq.gz	../sylph-test/refs/m.restrica.fa	95.47	0.086	94.66-96.74	0.086	0.06-0.11	1	1.047	632/31580	88.15	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950763_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.78	0.571	98.67-98.90	0.571	0.54-0.59	1	1.377	9615/31580	96.24	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950763_1.fastq.gz	../sylph-test/refs/m.globosa.fa	93.05	0.210	92.54-93.72	0.210	0.17-0.25	1	1.101	824/38437	88.34	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950764_1.fastq.gz	../sylph-test/refs/m.restrica.fa	97.67	0.379	97.49-97.87	0.379	0.35-0.40	1	1.239	4919/31580	94.18	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950764_1.fastq.gz	../sylph-test/refs/m.globosa.fa	91.60	0.253	91.03-92.33	0.253	0.19-0.32	1	1.125	600/38437	87.44	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950765_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.39	0.509	99.28-99.51	0.509	0.49-0.53	1	1.325	10610/31580	96.54	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950765_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.41	0.176	97.07-97.76	0.176	0.16-0.19	1	1.103	2828/38437	91.93	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950766_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.55	0.550	99.45-99.65	0.550	0.52-0.57	1	1.332	11836/31580	96.88	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950766_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.42	0.198	98.13-98.70	0.198	0.18-0.22	1	1.117	4333/38437	93.20	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950767_1.fastq.gz	../sylph-test/refs/m.restrica.fa	97.75	0.315	97.49-97.99	0.315	0.29-0.34	1	1.192	4300/31580	93.77	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950767_1.fastq.gz	../sylph-test/refs/m.globosa.fa	90.30	0.273	89.65-91.24	0.273	0.19-0.34	1	1.226	412/38437	86.39	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950768_1.fastq.gz	../sylph-test/refs/m.restrica.fa	94.60	0.345	94.24-94.89	0.345	0.31-0.39	1	1.173	1684/31580	90.98	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950769_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.71	0.389	98.58-98.85	0.389	0.37-0.41	1	1.254	6953/31580	95.24	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950769_1.fastq.gz	../sylph-test/refs/m.globosa.fa	95.63	0.152	95.16-96.23	0.152	0.12-0.17	1	1.095	1402/38437	89.87	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950770_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.30	0.404	98.15-98.43	0.404	0.38-0.43	1	1.260	6288/31580	94.93	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950770_1.fastq.gz	../sylph-test/refs/m.globosa.fa	93.37	0.289	92.92-93.86	0.289	0.24-0.33	1	1.143	1199/38437	89.42	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950771_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.78	0.286	98.55-98.99	0.286	0.27-0.31	1	1.158	5480/31580	94.51	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950771_1.fastq.gz	../sylph-test/refs/m.globosa.fa	91.04	0.082	89.20-92.93	0.082	0.04-0.14	1	1.486	177/38437	84.07	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950772_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.12	0.406	98.99-99.25	0.406	0.38-0.42	1	1.259	8154/31580	95.73	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950772_1.fastq.gz	../sylph-test/refs/m.globosa.fa	94.39	0.048	92.98-96.83	0.048	0.02-0.07	1	1.206	325/38437	85.73	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950773_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.90	0.320	98.76-99.09	0.320	0.30-0.34	1	1.231	6269/31580	94.92	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950773_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.87	0.208	96.53-97.18	0.208	0.19-0.23	1	1.128	2779/38437	91.88	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950774_1.fastq.gz	../sylph-test/refs/m.restrica.fa	97.93	0.225	97.64-98.19	0.225	0.20-0.25	1	1.147	3400/31580	93.06	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950774_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.46	0.133	95.92-96.98	0.133	0.11-0.16	1	1.132	1610/38437	90.27	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950775_1.fastq.gz	../sylph-test/refs/m.restrica.fa	92.46	0.168	91.76-93.52	0.168	0.11-0.22	1	1.077	439/31580	87.12	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950775_1.fastq.gz	../sylph-test/refs/m.globosa.fa	92.13	0.243	91.64-92.79	0.243	0.19-0.29	1	1.144	672/38437	87.76	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950776_1.fastq.gz	../sylph-test/refs/m.restrica.fa	92.11	0.246	91.49-92.86	0.246	0.18-0.30	1	1.131	550/31580	87.75	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950776_1.fastq.gz	../sylph-test/refs/m.globosa.fa	90.76	0.314	90.25-91.48	0.314	0.24-0.38	1	1.216	533/38437	87.11	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950777_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.60	0.234	98.32-98.83	0.234	0.21-0.26	1	1.138	4331/31580	93.79	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950777_1.fastq.gz	../sylph-test/refs/m.globosa.fa	95.34	0.100	94.56-96.17	0.100	0.07-0.13	1	1.167	864/38437	88.48	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950778_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.28	0.264	99.09-99.50	0.264	0.24-0.28	1	1.164	5968/31580	94.77	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950778_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.78	0.109	96.31-97.39	0.109	0.09-0.13	1	1.127	1486/38437	90.04	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950779_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.67	4.638	NA-NA	HIGH	NA-NA	4	4.638	28465/31580	99.67	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950779_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.28	0.126	97.78-98.73	0.126	0.11-0.14	1	1.079	2741/38437	91.83	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950780_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.70	1.816	99.66-99.74	1.816	1.76-1.86	2	2.295	24301/31580	99.16	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950780_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.39	0.411	98.25-98.53	0.411	0.39-0.43	1	1.222	8022/38437	95.07	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950781_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.57	0.259	98.35-98.79	0.259	0.24-0.28	1	1.164	4744/31580	94.07	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950781_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.90	0.204	96.53-97.24	0.204	0.18-0.23	1	1.115	2759/38437	91.85	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950782_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.51	0.809	99.44-99.58	0.809	0.78-0.83	1	1.534	15268/31580	97.68	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950782_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.65	0.340	97.47-97.82	0.340	0.32-0.36	1	1.196	5424/38437	93.88	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950783_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.35	0.430	99.24-99.48	0.430	0.41-0.45	1	1.251	9194/31580	96.10	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950783_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.92	0.166	97.52-98.24	0.166	0.15-0.18	1	1.104	3159/38437	92.26	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950784_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.76	1.363	99.72-99.80	1.363	1.33-1.39	2	1.966	22044/31580	98.85	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950784_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.09	0.254	97.90-98.32	0.254	0.24-0.27	1	1.148	4864/38437	93.55	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950785_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.60	0.692	99.53-99.69	0.692	0.67-0.71	1	1.425	14172/31580	97.45	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950785_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.84	0.189	97.50-98.16	0.189	0.17-0.21	1	1.104	3453/38437	92.52	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950786_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.82	1.859	99.79-99.86	1.859	1.81-1.91	2	2.451	25446/31580	99.31	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950786_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.50	0.930	98.43-98.56	0.930	0.90-0.96	1	1.571	14804/38437	96.97	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950787_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.75	1.480	99.71-99.79	1.480	1.43-1.51	2	2.031	22797/31580	98.95	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950787_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.44	0.545	98.34-98.58	0.545	0.52-0.56	1	1.307	10129/38437	95.79	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950788_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.54	0.449	99.44-99.64	0.449	0.43-0.47	1	1.290	10087/31580	96.39	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950788_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.07	0.354	97.90-98.23	0.354	0.33-0.37	1	1.188	6414/38437	94.39	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950789_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.46	0.597	99.37-99.56	0.597	0.58-0.62	1	1.365	12219/31580	96.98	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950789_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.45	0.263	98.25-98.65	0.263	0.25-0.28	1	1.147	5613/38437	93.98	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950790_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.81	0.218	98.51-99.08	0.218	0.20-0.24	1	1.125	4368/31580	93.82	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950790_1.fastq.gz	../sylph-test/refs/m.globosa.fa	95.59	0.103	94.85-96.48	0.103	0.08-0.13	1	1.138	954/38437	88.76	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950791_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.51	0.200	99.19-99.77	0.200	0.18-0.22	1	1.125	5026/31580	94.24	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950791_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.59	0.079	96.81-98.40	0.079	0.06-0.10	1	1.112	1405/38437	89.88	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
